item,name,description,type,category,subcategory,label
http://www.wikidata.org/entity/Q516316,Young British Artists,loose group of visual artists,entity,visual arts,art movement,cultural representative
http://www.wikidata.org/entity/Q244158,skipping rope,game in which one or more participants jump over a swung rope,concept,sports,sport,cultural agnostic
http://www.wikidata.org/entity/Q24151,Alligator II – The Mutation,1991 film by Jon Hess,entity,films,film,cultural representative
http://www.wikidata.org/entity/Q565,Wikimedia Commons,"online repository of free-use image, audio, and other media files",entity,history,archive,cultural exclusive
http://www.wikidata.org/entity/Q442987,Hewitt,"type of mountain or hill in England, Wales or Ireland, with at least 610 m (2000 feet) of altitude",entity,geography,mountain,cultural exclusive
http://www.wikidata.org/entity/Q83020,provincial city,type of administrative division of the Republic of China (Taiwan),entity,geography,city,cultural exclusive
http://www.wikidata.org/entity/Q2453469,Juglans,large tree,concept,biology,tree,cultural agnostic
http://www.wikidata.org/entity/Q189819,ritual,"set of actions performed according to an established sequence, mainly for their symbolic value",entity,gestures and habits,tradition,cultural agnostic
http://www.wikidata.org/entity/Q164828,Samkhya,one of six schools of Hindu philosophy,entity,philosophy and religion,philosophical movement,cultural representative
http://www.wikidata.org/entity/Q76452,Uschi Obermaier,German model (born 1946),entity,fashion,model,cultural exclusive
http://www.wikidata.org/entity/Q681188,paifang,traditional style of Chinese architectural arched gateway,concept,architecture,architectural style,cultural representative
http://www.wikidata.org/entity/Q393148,aggadah,non-legalistic exegetical texts in the classical rabbinic literature,concept,literature,literary genre,cultural agnostic
http://www.wikidata.org/entity/Q1711275,Jugendburg,mediaeval castle in German-speaking countries that was converted during the 20th century into a public community centre or educational facility for young people,concept,architecture,building,cultural agnostic
http://www.wikidata.org/entity/Q519926,Yubitsume,Japanese ritual,concept,gestures and habits,ritual,cultural exclusive
http://www.wikidata.org/entity/Q163560,Axel Springer SE,large multimedia company in Europe,entity,media,media company,cultural exclusive
http://www.wikidata.org/entity/Q5403434,ethicist,moral principle analyst,concept,philosophy and religion,philosopher,cultural agnostic
http://www.wikidata.org/entity/Q167681,Vahana,animal or mythical entity that a particular Hindu deity uses as vehicle,concept,transportation,mode of transport,cultural exclusive
http://www.wikidata.org/entity/Q508557,Panhellenic Games,Four distinct Ancient Greek sports festivals,entity,sports,recurring sporting event,cultural agnostic
http://www.wikidata.org/entity/Q85750582,Captain Cook,1972 non-fiction book by Alistair MacLean,entity,books,book,cultural exclusive
http://www.wikidata.org/entity/Q416,disk magazine,electronic magazine to be read using computers,concept,media,magazine,cultural agnostic
http://www.wikidata.org/entity/Q193475,menhir,large upright standing stone,concept,history,monument,cultural exclusive
http://www.wikidata.org/entity/Q191378,Z-Boys,influential group of mid-1970s skateboarders,entity,sports,sports team,cultural exclusive
http://www.wikidata.org/entity/Q751734,smoking ban,"public policies, including criminal laws and occupational safety and health regulations, that prohibit tobacco smoking in workplaces and other public spaces",concept,politics,policy,cultural agnostic
http://www.wikidata.org/entity/Q392,Bob Dylan,American singer-songwriter (born 1941),entity,literature,poet,cultural representative
http://www.wikidata.org/entity/Q1917775,music publishing company,"company that licenses compositions, collects royalties and distributes them to the composers",concept,literature,publisher,cultural agnostic
http://www.wikidata.org/entity/Q720829,open government,governing doctrine which holds that citizens have the right to access the documents and proceedings of the government to allow for effective public oversight,concept,politics,government,cultural exclusive
http://www.wikidata.org/entity/Q291331,Darcey Bussell,British ballerina,entity,performing arts,choreographer,cultural representative
http://www.wikidata.org/entity/Q256658,stand-your-ground law,legal principle permitting use of force against aggressors without obligation to retreat,concept,politics,law,cultural agnostic
http://www.wikidata.org/entity/Q811095,construction of the World Trade Center,building construction project in New York City (1968–1987),entity,architecture,construction,cultural exclusive
http://www.wikidata.org/entity/Q2707485,scenographer,"Designers of all visual aspects of a stage production, including scenery, properties, lighting, costume, and makeup",concept,fashion,designer,cultural agnostic
http://www.wikidata.org/entity/Q67052,Barberêche,"former municipality and village in Courtepin in the canton of Fribourg, Switzerland",entity,geography,neighborhood,cultural exclusive
http://www.wikidata.org/entity/Q343276,Actimel,Dairy brand,entity,food,drink,cultural representative
http://www.wikidata.org/entity/Q546359,doo-wop,style of rhythm & blues,concept,music,music genre,cultural representative
http://www.wikidata.org/entity/Q1072742,freshwater fish,fish that live all or much of their lives in freshwater,concept,biology,fish,cultural agnostic
http://www.wikidata.org/entity/Q584301,bassist,musician who plays a bass instrument,concept,music,musical profession,cultural agnostic
http://www.wikidata.org/entity/Q1130359,loincloth,"cloth worn around the loins, often as the sole article of clothing in warm climates",concept,fashion,traditional costume,cultural representative
http://www.wikidata.org/entity/Q252800,Abbot's Palace (Oliwa),building,entity,history,museum,cultural exclusive
http://www.wikidata.org/entity/Q4447,Despicable Me,2010 film directed by Pierre Coffin and Chris Renaud,entity,comics and anime,animated film,cultural representative
http://www.wikidata.org/entity/Q1615950,Weihnachtsmärchen,theatrical genre,entity,performing arts,theatrical genre,cultural representative
http://www.wikidata.org/entity/Q3292396,Marie Bourgeois,French chef,entity,food,cook,cultural representative
http://www.wikidata.org/entity/Q53045,Giuseppe Tornatore,Italian film director and screenwriter,entity,films,film director,cultural representative
http://www.wikidata.org/entity/Q969772,Free agent,player who is eligible to sign with any club or franchise,concept,sports,athlete,cultural agnostic
http://www.wikidata.org/entity/Q1728977,karashi,mustard used in Japan,concept,food,ingredient,cultural agnostic
http://www.wikidata.org/entity/Q286522,Oskar Schindler's Enamel Factory,architectural structure,entity,architecture,architectural structure,cultural exclusive
http://www.wikidata.org/entity/Q7362654,Romanian philosophy,philosophy done in Romania or by Romanians,concept,philosophy and religion,philosophy,cultural agnostic
http://www.wikidata.org/entity/Q224904,Ed Arno,Cartoonist/contributing to The New Yorker from 1969 to 2001,entity,comics and anime,comics artist,cultural representative
http://www.wikidata.org/entity/Q562214,manhwa,comics created in Korea,concept,comics and anime,comics,cultural agnostic
http://www.wikidata.org/entity/Q646420,Fayum mummy portraits,type of ancient naturalistic portraits from Roman Egypt,concept,visual arts,painting,cultural agnostic
http://www.wikidata.org/entity/Q1172458,muhaddith,specialist who profoundly knows and narrates hadith,concept,books,non-fiction writer,cultural agnostic
http://www.wikidata.org/entity/Q2210815,Orthodox Reformed Chorch,era in the history of Calvinism,concept,philosophy and religion,religious movement,cultural agnostic
http://www.wikidata.org/entity/Q177718,sideman,role for a musician,concept,music,musician,cultural exclusive
http://www.wikidata.org/entity/Q2004963,numismatist,"person studying currencies, coins or paper money",concept,history,historian,cultural exclusive
http://www.wikidata.org/entity/Q2940649,Cartoon Saloon,Irish animation studio,entity,comics and anime,animation studio,cultural representative
http://www.wikidata.org/entity/Q358576,Technoparade,parade of vehicles equipped with strong loudspeakers and amplifiers playing electronic dance music,concept,music,music festival,cultural exclusive
http://www.wikidata.org/entity/Q31444630,Ballwil railway station,railway station in Switzerland,entity,transportation,station,cultural exclusive
http://www.wikidata.org/entity/Q62982,Jacques Loeb,German-American physiologist and biologist (1859-1924),entity,biology,biologist,cultural exclusive
http://www.wikidata.org/entity/Q327591,independent politician,individual not affiliated to any political party,concept,politics,politician,cultural agnostic
http://www.wikidata.org/entity/Q100649,blackwater river,type of river with a slow-moving channel flowing through forested wetlands,entity,geography,river,cultural exclusive
http://www.wikidata.org/entity/Q701069,Hanbok,traditional Korean outfit comprised of a jacket and a woman’s skirt or men’s trousers,entity,fashion,clothing,cultural exclusive
http://www.wikidata.org/entity/Q188213,state religion,religious body or creed officially endorsed by the state,concept,philosophy and religion,religion,cultural agnostic
http://www.wikidata.org/entity/Q15975772,headlinese,abbreviated writing style used in newspaper headlines,entity,literature,writing style,cultural exclusive
http://www.wikidata.org/entity/Q7735102,Fox Nation,American streaming service of Fox News,entity,media,streaming service,cultural representative
http://www.wikidata.org/entity/Q25334,European Robin,species of bird,concept,biology,animal,cultural agnostic
http://www.wikidata.org/entity/Q938993,frivolous political party,political party which has been created for the purposes of entertainment or political satire,concept,politics,political party,cultural agnostic
http://www.wikidata.org/entity/Q2879962,baião,music genre and type of dance,concept,performing arts,dance,cultural exclusive
http://www.wikidata.org/entity/Q127990,Australian National University,"national research university in Canberra, Australian Capital Territory",entity,media,production company,cultural exclusive
http://www.wikidata.org/entity/Q948329,character actor,actor who predominantly plays unusual or eccentric characters,concept,performing arts,actor,cultural agnostic
http://www.wikidata.org/entity/Q4878968,bed skirt,"bedding accessory consisting of a flat and gathered or pleated piece of fabric, often matching the bedspread, attached to the rails or springs of a bed.Used to cover the bed frame and the bed legs. Also used for decoration.",entity,fashion,textile,cultural agnostic
http://www.wikidata.org/entity/Q1361932,family film,film genre; films intended for a family audience of all ages,entity,films,film genre,cultural agnostic
http://www.wikidata.org/entity/Q639669,musician,"person who composes, conducts or performs music",concept,visual arts,artist,cultural agnostic
http://www.wikidata.org/entity/Q616077,VJing,broad designation for realtime visual performance,concept,visual arts,visual arts,cultural agnostic
http://www.wikidata.org/entity/Q827654,lassi,yogurt-based drink from Indian subcontinent,entity,food,dish,cultural representative
